oblast;raion;hromada;level;started_at;finished_at
Odeska oblast;;;oblast;11.09.2022 20:09;11.09.2022 21:45
Dnipropetrovska oblast;;;oblast;11.09.2022 20:11;11.09.2022 21:42
Kyiv;;;oblast;11.09.2022 20:11;11.09.2022 21:43
Cherkaska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:43
Kharkivska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:45
Zhytomyrska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:44
Poltavska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:46
Kyivska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:43
Kirovohradska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:44
Vinnytska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:47
Khmelnytska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:44
Donetska oblast;;;oblast;11.09.2022 20:12;11.09.2022 21:45
Chernihivska oblast;;;oblast;11.09.2022 20:13;11.09.2022 21:43
Zaporizka oblast;;;oblast;11.09.2022 20:13;11.09.2022 21:45
Sumska oblast;;;oblast;11.09.2022 20:14;11.09.2022 21:47
Ternopilska oblast;;;oblast;11.09.2022 20:14;11.09.2022 21:44
Mykolaivska oblast;Mykolaivskyi raion;Pervomaiska terytorialna hromada;hromada;11.09.2022 20:14;11.09.2022 21:44
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;11.09.2022 20:14;11.09.2022 21:48
Chernivetska oblast;;;oblast;11.09.2022 20:15;11.09.2022 21:45
Rivnenska oblast;;;oblast;11.09.2022 20:27;11.09.2022 21:43
Volynska oblast;;;oblast;11.09.2022 20:27;11.09.2022 21:43
Ivano-Frankivska oblast;;;oblast;11.09.2022 20:28;11.09.2022 21:44
Lvivska oblast;;;oblast;11.09.2022 20:30;11.09.2022 21:44
Zakarpatska oblast;;;oblast;11.09.2022 20:30;11.09.2022 21:46
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;11.09.2022 22:27;12.09.2022 6:46
Zaporizka oblast;;;oblast;11.09.2022 22:27;11.09.2022 22:41
Dnipropetrovska oblast;;;oblast;11.09.2022 22:28;11.09.2022 22:40
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;12.09.2022 0:23;12.09.2022 0:38
Mykolaivska oblast;;;oblast;12.09.2022 0:24;12.09.2022 0:39
Mykolaivska oblast;Mykolaivskyi raion;Pervomaiska terytorialna hromada;hromada;12.09.2022 0:24;12.09.2022 0:40
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;12.09.2022 0:25;12.09.2022 1:00
Kharkivska oblast;;;oblast;12.09.2022 0:57;12.09.2022 1:43
Donetska oblast;;;oblast;12.09.2022 1:55;12.09.2022 1:55
Donetska oblast;;;oblast;12.09.2022 1:55;12.09.2022 5:21
Poltavska oblast;;;oblast;12.09.2022 5:19;12.09.2022 6:03
Dnipropetrovska oblast;;;oblast;12.09.2022 5:20;12.09.2022 6:03
Zaporizka oblast;;;oblast;12.09.2022 5:20;12.09.2022 6:04
Donetska oblast;;;oblast;12.09.2022 5:21;12.09.2022 5:21
Donetska oblast;;;oblast;12.09.2022 5:21;12.09.2022 6:06
Sumska oblast;;;oblast;12.09.2022 5:21;12.09.2022 6:06
Kharkivska oblast;;;oblast;12.09.2022 5:21;12.09.2022 6:06
Cherkaska oblast;;;oblast;12.09.2022 5:28;12.09.2022 6:03
Kirovohradska oblast;;;oblast;12.09.2022 5:28;12.09.2022 6:03
Zaporizka oblast;;;oblast;12.09.2022 9:55;12.09.2022 10:24
Kharkivska oblast;;;oblast;12.09.2022 9:58;12.09.2022 10:24
Kharkivska oblast;;;oblast;12.09.2022 11:30;12.09.2022 11:53
Kharkivska oblast;;;oblast;12.09.2022 14:11;12.09.2022 15:07
Donetska oblast;;;oblast;12.09.2022 15:19;12.09.2022 15:42
Zaporizka oblast;;;oblast;12.09.2022 15:20;12.09.2022 15:46
Kharkivska oblast;;;oblast;12.09.2022 15:20;12.09.2022 15:41
Dnipropetrovska oblast;;;oblast;12.09.2022 15:20;12.09.2022 15:41
Poltavska oblast;;;oblast;12.09.2022 15:21;12.09.2022 15:45
Sumska oblast;;;oblast;12.09.2022 15:22;12.09.2022 15:47
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;12.09.2022 15:37;12.09.2022 18:03
Donetska oblast;;;oblast;12.09.2022 16:34;12.09.2022 17:14
Kharkivska oblast;;;oblast;12.09.2022 16:35;12.09.2022 17:11
Zaporizka oblast;;;oblast;12.09.2022 16:35;12.09.2022 17:14
Dnipropetrovska oblast;;;oblast;12.09.2022 16:36;12.09.2022 17:10
Mykolaivska oblast;;;oblast;12.09.2022 16:37;12.09.2022 17:23
Poltavska oblast;;;oblast;12.09.2022 16:38;12.09.2022 17:12
Khersonska oblast;;;oblast;12.09.2022 16:38;12.09.2022 17:14
Sumska oblast;;;oblast;12.09.2022 16:40;12.09.2022 17:15
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;12.09.2022 16:40;12.09.2022 17:19
Kharkivska oblast;;;oblast;12.09.2022 17:49;12.09.2022 17:51
Zaporizka oblast;;;oblast;12.09.2022 17:58;12.09.2022 18:27
Donetska oblast;;;oblast;12.09.2022 17:59;12.09.2022 18:28
Dnipropetrovska oblast;;;oblast;12.09.2022 17:59;12.09.2022 18:26
Kharkivska oblast;;;oblast;12.09.2022 18:00;12.09.2022 18:26
Poltavska oblast;;;oblast;12.09.2022 18:02;12.09.2022 18:27
Sumska oblast;;;oblast;12.09.2022 18:04;12.09.2022 18:30
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;12.09.2022 22:31;13.09.2022 6:35
Donetska oblast;;;oblast;12.09.2022 23:13;12.09.2022 23:33
Mykolaivska oblast;;;oblast;13.09.2022 2:22;13.09.2022 3:05
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;13.09.2022 2:24;13.09.2022 2:57
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;13.09.2022 2:24;13.09.2022 2:59
Dnipropetrovska oblast;;;oblast;13.09.2022 2:26;13.09.2022 2:54
Khersonska oblast;;;oblast;13.09.2022 2:26;13.09.2022 2:55
Kirovohradska oblast;;;oblast;13.09.2022 2:27;13.09.2022 2:55
Zaporizka oblast;;;oblast;13.09.2022 3:23;13.09.2022 4:40
Dnipropetrovska oblast;;;oblast;13.09.2022 3:23;13.09.2022 4:39
Kharkivska oblast;;;oblast;13.09.2022 3:23;13.09.2022 4:38
Poltavska oblast;;;oblast;13.09.2022 3:24;13.09.2022 4:39
Cherkaska oblast;;;oblast;13.09.2022 3:24;13.09.2022 4:36
Chernihivska oblast;;;oblast;13.09.2022 3:24;13.09.2022 4:36
Sumska oblast;;;oblast;13.09.2022 3:26;13.09.2022 4:43
Donetska oblast;;;oblast;13.09.2022 3:26;13.09.2022 4:43
Kirovohradska oblast;;;oblast;13.09.2022 3:34;13.09.2022 4:37
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;13.09.2022 10:07;13.09.2022 10:22
Chernihivska oblast;;;oblast;13.09.2022 10:09;13.09.2022 10:38
Zaporizka oblast;;;oblast;13.09.2022 10:25;13.09.2022 10:52
Poltavska oblast;;;oblast;13.09.2022 11:03;13.09.2022 11:35
Kharkivska oblast;;;oblast;13.09.2022 11:04;13.09.2022 11:35
Dnipropetrovska oblast;;;oblast;13.09.2022 11:05;13.09.2022 11:35
Sumska oblast;;;oblast;13.09.2022 11:05;13.09.2022 11:46
Zaporizka oblast;;;oblast;13.09.2022 15:33;13.09.2022 15:58
Dnipropetrovska oblast;;;oblast;13.09.2022 15:33;13.09.2022 15:57
Cherkaska oblast;;;oblast;13.09.2022 15:45;13.09.2022 16:01
Kirovohradska oblast;;;oblast;13.09.2022 15:46;13.09.2022 16:02
Zaporizka oblast;;;oblast;13.09.2022 16:05;13.09.2022 16:34
Poltavska oblast;;;oblast;13.09.2022 16:06;13.09.2022 16:34
Dnipropetrovska oblast;;;oblast;13.09.2022 16:06;13.09.2022 16:36
Kharkivska oblast;;;oblast;13.09.2022 16:07;13.09.2022 16:35
Sumska oblast;;;oblast;13.09.2022 16:08;13.09.2022 16:37
Donetska oblast;;;oblast;13.09.2022 16:09;13.09.2022 16:35
Khersonska oblast;;;oblast;13.09.2022 16:09;13.09.2022 16:33
Mykolaivska oblast;;;oblast;13.09.2022 16:10;13.09.2022 16:37
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;13.09.2022 16:13;13.09.2022 16:35
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;13.09.2022 16:13;13.09.2022 16:36
Zaporizka oblast;;;oblast;13.09.2022 17:46;13.09.2022 18:51
Kharkivska oblast;;;oblast;13.09.2022 17:47;13.09.2022 18:49
Poltavska oblast;;;oblast;13.09.2022 17:47;13.09.2022 18:51
Dnipropetrovska oblast;;;oblast;13.09.2022 17:47;13.09.2022 18:50
Sumska oblast;;;oblast;13.09.2022 17:48;13.09.2022 18:55
Donetska oblast;;;oblast;13.09.2022 17:50;13.09.2022 18:53
Khersonska oblast;;;oblast;13.09.2022 19:59;13.09.2022 20:48
Mykolaivska oblast;;;oblast;13.09.2022 19:59;13.09.2022 20:50
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;13.09.2022 19:59;13.09.2022 20:51
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;13.09.2022 20:01;13.09.2022 20:52
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;13.09.2022 22:40;14.09.2022 8:05
Khersonska oblast;;;oblast;14.09.2022 0:20;14.09.2022 0:31
Mykolaivska oblast;;;oblast;14.09.2022 0:22;14.09.2022 0:36
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 0:25;14.09.2022 0:41
Donetska oblast;;;oblast;14.09.2022 1:03;14.09.2022 2:00
Kharkivska oblast;;;oblast;14.09.2022 1:10;14.09.2022 1:58
Zaporizka oblast;;;oblast;14.09.2022 1:11;14.09.2022 1:57
Dnipropetrovska oblast;;;oblast;14.09.2022 1:11;14.09.2022 1:57
Poltavska oblast;;;oblast;14.09.2022 1:12;14.09.2022 1:57
Mykolaivska oblast;;;oblast;14.09.2022 2:11;14.09.2022 2:53
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;14.09.2022 2:12;14.09.2022 8:06
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 2:15;14.09.2022 2:36
Zaporizka oblast;;;oblast;14.09.2022 2:20;14.09.2022 2:32
Dnipropetrovska oblast;;;oblast;14.09.2022 2:21;14.09.2022 2:32
Odeska oblast;;;oblast;14.09.2022 6:49;14.09.2022 7:03
Zaporizka oblast;;;oblast;14.09.2022 10:23;14.09.2022 10:50
Mykolaivska oblast;;;oblast;14.09.2022 10:30;14.09.2022 11:03
Khersonska oblast;;;oblast;14.09.2022 10:30;14.09.2022 11:01
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;14.09.2022 10:34;14.09.2022 11:04
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 10:35;14.09.2022 11:08
Mykolaivska oblast;;;oblast;14.09.2022 11:56;14.09.2022 12:35
Khersonska oblast;;;oblast;14.09.2022 11:56;14.09.2022 12:33
Kirovohradska oblast;;;oblast;14.09.2022 11:57;14.09.2022 12:42
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 12:16;14.09.2022 12:44
Donetska oblast;Kramatorskyi raion;;raion;14.09.2022 12:40;14.09.2022 13:23
Khersonska oblast;;;oblast;14.09.2022 13:52;14.09.2022 14:53
Mykolaivska oblast;;;oblast;14.09.2022 13:52;14.09.2022 15:01
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 13:55;14.09.2022 15:15
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;14.09.2022 13:55;14.09.2022 15:16
Kyiv;;;oblast;14.09.2022 17:34;14.09.2022 17:51
Dnipropetrovska oblast;;;oblast;14.09.2022 17:34;14.09.2022 17:52
Cherkaska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:52
Poltavska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:52
Zhytomyrska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:52
Khmelnytska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:55
Mykolaivska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:53
Zaporizka oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:52
Donetska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:55
Volynska oblast;;;oblast;14.09.2022 17:35;14.09.2022 17:52
Ivano-Frankivska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:55
Vinnytska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:51
Kharkivska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:53
Kyivska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:54
Kirovohradska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:52
Chernivetska oblast;;;oblast;14.09.2022 17:36;14.09.2022 18:01
Khersonska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:53
Zakarpatska oblast;;;oblast;14.09.2022 17:36;14.09.2022 18:56
Chernihivska oblast;;;oblast;14.09.2022 17:36;14.09.2022 17:51
Lvivska oblast;;;oblast;14.09.2022 17:37;14.09.2022 17:54
Ternopilska oblast;;;oblast;14.09.2022 17:37;14.09.2022 17:55
Sumska oblast;;;oblast;14.09.2022 17:38;14.09.2022 18:58
Rivnenska oblast;;;oblast;14.09.2022 17:38;14.09.2022 17:55
Odeska oblast;;;oblast;14.09.2022 17:38;14.09.2022 17:53
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;14.09.2022 17:38;14.09.2022 19:00
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;14.09.2022 17:50;14.09.2022 18:55
Kyiv;;;oblast;14.09.2022 17:55;14.09.2022 18:54
Dnipropetrovska oblast;;;oblast;14.09.2022 17:55;14.09.2022 18:57
Vinnytska oblast;;;oblast;14.09.2022 17:55;14.09.2022 18:55
Volynska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Khmelnytska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Poltavska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Zhytomyrska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Mykolaivska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:55
Donetska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:56
Zaporizka oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:56
Kirovohradska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Chernihivska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:54
Kharkivska oblast;;;oblast;14.09.2022 17:56;14.09.2022 18:57
Cherkaska oblast;;;oblast;14.09.2022 17:57;14.09.2022 18:54
Khersonska oblast;;;oblast;14.09.2022 17:57;14.09.2022 18:55
Ivano-Frankivska oblast;;;oblast;14.09.2022 17:57;14.09.2022 18:55
Kyivska oblast;;;oblast;14.09.2022 17:57;14.09.2022 18:55
Ternopilska oblast;;;oblast;14.09.2022 17:57;14.09.2022 18:57
Rivnenska oblast;;;oblast;14.09.2022 17:58;14.09.2022 18:55
Odeska oblast;;;oblast;14.09.2022 17:58;14.09.2022 18:56
Lvivska oblast;;;oblast;14.09.2022 17:59;14.09.2022 18:56
Chernivetska oblast;;;oblast;14.09.2022 18:01;14.09.2022 18:56
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;14.09.2022 22:29;15.09.2022 6:50
Cherkaska oblast;;;oblast;14.09.2022 23:08;14.09.2022 23:45
Mykolaivska oblast;;;oblast;15.09.2022 0:11;15.09.2022 1:20
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 0:17;15.09.2022 1:24
Donetska oblast;;;oblast;15.09.2022 0:27;15.09.2022 0:40
Kharkivska oblast;;;oblast;15.09.2022 0:33;15.09.2022 1:23
Kharkivska oblast;Kharkivskyi raion;;raion;15.09.2022 0:35;15.09.2022 1:23
Donetska oblast;;;oblast;15.09.2022 0:53;15.09.2022 1:26
Kirovohradska oblast;;;oblast;15.09.2022 1:02;15.09.2022 1:24
Poltavska oblast;;;oblast;15.09.2022 1:03;15.09.2022 1:23
Zaporizka oblast;;;oblast;15.09.2022 1:04;15.09.2022 1:24
Dnipropetrovska oblast;;;oblast;15.09.2022 1:04;15.09.2022 1:23
Sumska oblast;;;oblast;15.09.2022 1:06;15.09.2022 1:28
Kirovohradska oblast;;;oblast;15.09.2022 1:25;15.09.2022 1:33
Mykolaivska oblast;;;oblast;15.09.2022 1:28;15.09.2022 3:16
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 1:36;15.09.2022 3:21
Khersonska oblast;;;oblast;15.09.2022 1:44;15.09.2022 3:15
Odeska oblast;;;oblast;15.09.2022 1:45;15.09.2022 3:14
Zaporizka oblast;;;oblast;15.09.2022 2:59;15.09.2022 3:53
Dnipropetrovska oblast;;;oblast;15.09.2022 6:58;15.09.2022 7:11
Poltavska oblast;;;oblast;15.09.2022 6:59;15.09.2022 7:12
Zaporizka oblast;;;oblast;15.09.2022 6:59;15.09.2022 7:12
Kharkivska oblast;;;oblast;15.09.2022 6:59;15.09.2022 7:13
Sumska oblast;;;oblast;15.09.2022 7:01;15.09.2022 7:15
Donetska oblast;Kramatorskyi raion;;raion;15.09.2022 7:03;15.09.2022 7:15
Donetska oblast;;;oblast;15.09.2022 7:08;15.09.2022 7:14
Mykolaivska oblast;;;oblast;15.09.2022 7:37;15.09.2022 10:10
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 7:40;15.09.2022 7:59
Zaporizka oblast;;;oblast;15.09.2022 8:36;15.09.2022 8:59
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;15.09.2022 9:13;15.09.2022 10:09
Dnipropetrovska oblast;;;oblast;15.09.2022 10:21;15.09.2022 10:33
Zaporizka oblast;;;oblast;15.09.2022 10:25;15.09.2022 10:34
Poltavska oblast;;;oblast;15.09.2022 10:56;15.09.2022 11:49
Kharkivska oblast;;;oblast;15.09.2022 10:56;15.09.2022 11:49
Dnipropetrovska oblast;;;oblast;15.09.2022 10:57;15.09.2022 11:20
Zaporizka oblast;;;oblast;15.09.2022 10:57;15.09.2022 11:21
Chernihivska oblast;;;oblast;15.09.2022 10:57;15.09.2022 11:21
Sumska oblast;;;oblast;15.09.2022 10:58;15.09.2022 11:23
Donetska oblast;;;oblast;15.09.2022 10:58;15.09.2022 10:59
Donetska oblast;;;oblast;15.09.2022 10:59;15.09.2022 11:21
Khmelnytska oblast;;;oblast;15.09.2022 12:20;15.09.2022 13:00
Zaporizka oblast;;;oblast;15.09.2022 13:38;15.09.2022 13:45
Zaporizka oblast;;;oblast;15.09.2022 14:00;15.09.2022 14:33
Dnipropetrovska oblast;;;oblast;15.09.2022 14:00;15.09.2022 14:34
Cherkaska oblast;;;oblast;15.09.2022 14:02;15.09.2022 14:31
Kyiv;;;oblast;15.09.2022 14:03;15.09.2022 14:30
Zhytomyrska oblast;;;oblast;15.09.2022 14:04;15.09.2022 14:31
Kyivska oblast;;;oblast;15.09.2022 14:05;15.09.2022 14:32
Chernihivska oblast;;;oblast;15.09.2022 14:05;15.09.2022 14:32
Kirovohradska oblast;;;oblast;15.09.2022 14:06;15.09.2022 14:34
Vinnytska oblast;;;oblast;15.09.2022 14:07;15.09.2022 14:35
Donetska oblast;Kramatorskyi raion;;raion;15.09.2022 14:11;15.09.2022 14:17
Donetska oblast;;;oblast;15.09.2022 14:17;15.09.2022 14:32
Zaporizka oblast;;;oblast;15.09.2022 15:31;15.09.2022 16:30
Kharkivska oblast;;;oblast;15.09.2022 15:47;15.09.2022 16:43
Kyiv;;;oblast;15.09.2022 15:47;15.09.2022 16:20
Cherkaska oblast;;;oblast;15.09.2022 15:48;15.09.2022 16:20
Poltavska oblast;;;oblast;15.09.2022 15:48;15.09.2022 16:28
Kyivska oblast;;;oblast;15.09.2022 15:48;15.09.2022 16:20
Chernihivska oblast;;;oblast;15.09.2022 15:49;15.09.2022 16:21
Sumska oblast;;;oblast;15.09.2022 15:52;15.09.2022 16:32
Dnipropetrovska oblast;;;oblast;15.09.2022 16:00;15.09.2022 16:26
Kirovohradska oblast;;;oblast;15.09.2022 16:03;15.09.2022 16:20
Donetska oblast;;;oblast;15.09.2022 16:05;15.09.2022 16:22
Donetska oblast;;;oblast;15.09.2022 16:39;15.09.2022 16:48
Khersonska oblast;;;oblast;15.09.2022 17:40;15.09.2022 18:30
Mykolaivska oblast;;;oblast;15.09.2022 17:41;15.09.2022 18:31
Odeska oblast;;;oblast;15.09.2022 17:42;15.09.2022 18:27
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 17:43;15.09.2022 18:29
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;15.09.2022 17:43;15.09.2022 18:28
Kyiv;;;oblast;15.09.2022 17:47;15.09.2022 18:25
Cherkaska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:25
Kirovohradska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:26
Vinnytska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:27
Dnipropetrovska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:24
Zhytomyrska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:26
Zaporizka oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:27
Donetska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:26
Kharkivska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:25
Kyivska oblast;;;oblast;15.09.2022 17:48;15.09.2022 18:25
Chernihivska oblast;;;oblast;15.09.2022 17:49;15.09.2022 18:26
Poltavska oblast;;;oblast;15.09.2022 17:49;15.09.2022 18:25
Khmelnytska oblast;;;oblast;15.09.2022 17:49;15.09.2022 18:30
Volynska oblast;;;oblast;15.09.2022 17:50;15.09.2022 18:28
Ivano-Frankivska oblast;;;oblast;15.09.2022 17:50;15.09.2022 18:31
Zakarpatska oblast;;;oblast;15.09.2022 17:50;15.09.2022 18:31
Sumska oblast;;;oblast;15.09.2022 17:51;15.09.2022 18:29
Ternopilska oblast;;;oblast;15.09.2022 17:51;15.09.2022 18:30
Lvivska oblast;;;oblast;15.09.2022 17:52;15.09.2022 18:26
Chernivetska oblast;;;oblast;15.09.2022 17:53;15.09.2022 18:35
Rivnenska oblast;;;oblast;15.09.2022 17:53;15.09.2022 18:27
Khersonska oblast;;;oblast;15.09.2022 20:47;15.09.2022 21:24
Zaporizka oblast;;;oblast;15.09.2022 20:48;15.09.2022 21:26
Mykolaivska oblast;;;oblast;15.09.2022 20:50;15.09.2022 21:26
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 20:51;15.09.2022 21:27
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;15.09.2022 22:21;16.09.2022 7:24
Mykolaivska oblast;;;oblast;15.09.2022 22:46;15.09.2022 23:22
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 22:47;15.09.2022 23:24
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;15.09.2022 22:51;15.09.2022 23:21
Odeska oblast;;;oblast;15.09.2022 22:52;15.09.2022 23:21
Khersonska oblast;;;oblast;15.09.2022 22:54;15.09.2022 23:23
Mykolaivska oblast;;;oblast;15.09.2022 23:44;16.09.2022 0:26
Khersonska oblast;;;oblast;15.09.2022 23:44;16.09.2022 0:26
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;15.09.2022 23:45;16.09.2022 0:21
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;15.09.2022 23:47;16.09.2022 0:23
Zaporizka oblast;;;oblast;16.09.2022 1:04;16.09.2022 1:36
Dnipropetrovska oblast;;;oblast;16.09.2022 1:05;16.09.2022 1:32
Kharkivska oblast;;;oblast;16.09.2022 1:21;16.09.2022 1:35
Donetska oblast;;;oblast;16.09.2022 1:22;16.09.2022 1:34
Mykolaivska oblast;;;oblast;16.09.2022 2:42;16.09.2022 3:24
Mykolaivska oblast;Pervomaiskyi raion;Kryvoozerska terytorialna hromada;hromada;16.09.2022 2:45;16.09.2022 3:25
Mykolaivska oblast;;;oblast;16.09.2022 4:01;16.09.2022 4:37
Kharkivska oblast;;;oblast;16.09.2022 4:32;16.09.2022 5:01
Donetska oblast;;;oblast;16.09.2022 6:59;16.09.2022 7:08
Donetska oblast;;;oblast;16.09.2022 13:49;16.09.2022 14:22
Zaporizka oblast;;;oblast;16.09.2022 13:50;16.09.2022 14:23
Dnipropetrovska oblast;;;oblast;16.09.2022 13:51;16.09.2022 14:20
Kyiv;;;oblast;16.09.2022 14:04;16.09.2022 14:21
Cherkaska oblast;;;oblast;16.09.2022 14:05;16.09.2022 14:22
Chernihivska oblast;;;oblast;16.09.2022 14:05;16.09.2022 14:22
Kyivska oblast;;;oblast;16.09.2022 14:05;16.09.2022 14:23
Kirovohradska oblast;;;oblast;16.09.2022 14:06;16.09.2022 14:22
Kharkivska oblast;;;oblast;16.09.2022 14:06;16.09.2022 14:21
Poltavska oblast;;;oblast;16.09.2022 14:07;16.09.2022 14:22
Sumska oblast;;;oblast;16.09.2022 14:09;16.09.2022 14:25
Cherkaska oblast;;;oblast;16.09.2022 14:25;16.09.2022 15:09
Zhytomyrska oblast;;;oblast;16.09.2022 14:26;16.09.2022 15:23
Kyiv;;;oblast;16.09.2022 14:27;16.09.2022 15:22
Zaporizka oblast;;;oblast;16.09.2022 14:27;16.09.2022 15:05
Vinnytska oblast;;;oblast;16.09.2022 14:27;16.09.2022 15:11
Kyivska oblast;;;oblast;16.09.2022 14:28;16.09.2022 15:23
Dnipropetrovska oblast;;;oblast;16.09.2022 14:29;16.09.2022 15:02
Chernihivska oblast;;;oblast;16.09.2022 14:30;16.09.2022 15:10
Kirovohradska oblast;;;oblast;16.09.2022 14:30;16.09.2022 15:09
Donetska oblast;;;oblast;16.09.2022 14:33;16.09.2022 15:03
Poltavska oblast;;;oblast;16.09.2022 14:43;16.09.2022 15:03
Sumska oblast;;;oblast;16.09.2022 14:45;16.09.2022 15:08
Kharkivska oblast;;;oblast;16.09.2022 14:45;16.09.2022 15:02
Kharkivska oblast;;;oblast;16.09.2022 16:02;16.09.2022 16:15
