oblast;raion;hromada;level;started_at;finished_at
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;17.03.2022 7:52;17.03.2022 8:10
Zaporizka oblast;Zaporizkyi raion;m. Zaporizhzhia ta Zaporizka terytorialna hromada;hromada;17.03.2022 7:52;17.03.2022 8:08
Zhytomyrska oblast;;;oblast;17.03.2022 8:54;17.03.2022 9:09
Vinnytska oblast;;;oblast;17.03.2022 8:54;17.03.2022 9:08
Volynska oblast;;;oblast;17.03.2022 8:55;17.03.2022 9:12
Rivnenska oblast;;;oblast;17.03.2022 8:58;17.03.2022 9:10
Ternopilska oblast;;;oblast;17.03.2022 9:02;17.03.2022 9:17
Sumska oblast;Shostkynskyi raion;m. Shostka ta Shostkynska terytorialna hromada;hromada;17.03.2022 10:42;17.03.2022 10:53
Kharkivska oblast;;;oblast;17.03.2022 10:53;17.03.2022 12:00
Kyiv;;;oblast;17.03.2022 12:19;17.03.2022 12:49
Sumska oblast;;;oblast;17.03.2022 12:23;17.03.2022 13:06
Kyivska oblast;;;oblast;17.03.2022 12:29;17.03.2022 12:57
Kyiv;;;oblast;17.03.2022 13:06;17.03.2022 14:20
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;17.03.2022 13:11;17.03.2022 15:52
Vinnytska oblast;;;oblast;17.03.2022 13:14;17.03.2022 13:50
Zhytomyrska oblast;;;oblast;17.03.2022 13:15;17.03.2022 13:53
Cherkaska oblast;;;oblast;17.03.2022 13:16;17.03.2022 13:16
Kyivska oblast;;;oblast;17.03.2022 13:25;17.03.2022 15:52
Kharkivska oblast;;;oblast;17.03.2022 14:29;17.03.2022 14:34
Sumska oblast;Sumskyi raion;;raion;17.03.2022 14:37;17.03.2022 16:30
Sumska oblast;Sumskyi raion;m. Sumy ta Sumska terytorialna hromada;hromada;17.03.2022 14:38;17.03.2022 16:30
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;17.03.2022 14:45;17.03.2022 15:50
Odeska oblast;Odeskyi raion;;raion;17.03.2022 14:45;17.03.2022 15:47
Dnipropetrovska oblast;;;oblast;17.03.2022 14:45;17.03.2022 15:50
Kharkivska oblast;;;oblast;17.03.2022 14:45;17.03.2022 16:49
